clause,verb,phrase,cmpl_type,cmpl_func
451735,PNH[,724864,>L,DIR
442707,PNH[,697563,>L,?
429887,PNH[,658672,<L,?
435287,PNH[,674817,>L,DIR
463592,PNH[,760849,final_h,DIR
446043,PNH[,707669,>L,-
458848,PNH[,746566,>L,?
466706,PNH[,769650,>L,?
453808,PNH[,731189,>L,DIR
458447,QBR[,745287,B,DIR
467719,QBR[,772771,B,DIR
433457,QBR[,669264,final_h,DIR
466638,QBR[,769454,B,DIR
467947,QBR[,773475,B,DIR
451094,QBR[,722907,B,DIR
463366,QBR[,760155,B,DIR
451083,QBR[,722865,B,DIR
463187,QBR[,759603,B,DIR
429656,QBR[,658009,>L,DIR
433421,QBR[,669159,>L,DIR
457569,QBR[,742600,B,DIR
453243,QBR[,729494,B,DIR
451089,QBR[,722891,B,DIR
466207,QBR[,768161,B,DIR
433485,QBR[,669351,B,DIR
457952,QBR[,743793,final_h,DIR
458207,QBR[,744544,B,DIR
429985,QBR[,658954,>L,DIR
466430,QBR[,768792,B,DIR
464681,QBR[,763897,B,DIR
433199,QBR[,668557,B,DIR
429638,QBR[,657955,final_h,DIR
466608,QBR[,769351,B,DIR
457125,QBR[,741251,B,DIR
429603,QBR[,657862,B,DIR
460708,QBR[,752192,B,DIR
446207,QCR[,708171,<L,-
431942,QCR[,664776,<L,-
457114,QWM[,741212,B,-
457068,R>H[,741069,B,LOC
435466,TMK[,675345,B,-
466742,TPF[,769765,B,-
466731,XZQ[,769726,B,-
446553,YWR[,709198,B,?
