,clause,verb,phrase,cmpl_type,cmpl_func
430921,430921,NF>[,661785,<L,DIR
466188,466188,NF>[,768110,<L,-
448424,448424,NF>[,714887,<L,?
440186,440186,NF>[,689928,<L,-
439873,439873,NF>[,689002,<L,-
436213,436213,NF>[,677692,B,-
436721,436721,NF>[,679326,B,-
460629,460629,NF>[,751942,B,DIR
432461,432461,NF>[,666361,<L,DIR
441590,441590,NF>[,694252,B,-
442986,442986,NF>[,698454,<L,-
435598,435598,NF>[,675770,<L,-
432138,432138,NF>[,665383,B,-
436519,436519,NF>[,678676,<L,-
447941,447941,NF>[,713459,<L,-
437598,437598,NF>[,681933,B,-
437577,437577,NF>[,681858,B,-
436514,436514,NF>[,678657,<L,LOC
442092,442092,NF>[,695703,B,-
428774,428774,NPL[,655328,<L,-
456051,456051,NPL[,737961,<L,-
455112,455112,NPL[,735137,<L,-
443097,443097,NPL[,698820,<L,DIR
428913,428913,NPL[,655776,<L,DIR
448865,448865,NPL[,716116,<L,-
457243,457243,NPL[,741597,<L,DIR
457424,457424,NPL[,742160,<L,-
430011,430011,NPL[,659018,<L,DIR
457918,457918,NPL[,743686,<L,DIR
457921,457921,NPL[,743696,<L,DIR
435183,435183,NPL[,674511,<L,-
428873,428873,NPL[,655638,<L,DIR
442727,442727,NPL[,697637,<L,DIR
463914,463914,NPL[,761746,<L,DIR
465340,465340,NPL[,765765,<L,DIR
460022,460022,NPL[,750084,<L,DIR
442817,442817,NPL[,697899,<L,DIR
431232,431232,NPL[,662705,<L,DIR
432914,432914,NPL[,667677,<L,DIR
433437,433437,NPL[,669206,<L,DIR
433050,433050,NPL[,668079,<L,DIR
438889,438889,NPL[,685918,<L,DIR
442656,442656,NPL[,697430,<L,DIR
453235,453235,NPL[,729469,<L,DIR
438682,438682,NPL[,685312,<L,DIR
438862,438862,NPL[,685836,<L,DIR
438878,438878,NPL[,685884,<L,DIR
438885,438885,NPL[,685905,<L,DIR
458834,458834,NPL[,746525,<L,DIR
464253,464253,NPL[,762679,<L,DIR
442368,442368,NPL[,696531,<L,DIR
463730,463730,NPL[,761249,<L,DIR
