,clause,verb,phrase,cmpl_type
451185,451185,>MR[,723206,L
451216,451216,JRD[,723316,L
451243,451243,ZBX[,723403,L
451251,451251,<FH[,723429,L
451258,451258,<FH[,723454,L
451269,451269,<BD[,723487,L
451275,451275,<MD[,723506,L
451280,451280,YRR[,723524,L
451305,451305,CM<[,723604,L
451350,451350,JY>[,723744,L
451459,451459,QR>[,724096,L
451493,451493,JY>[,724218,L
451540,451540,>MR[,724353,L
451562,451562,CJR[,724403,L
451593,451593,JRD[,724477,L
451622,451622,JCB[,724543,L
451641,451641,BW>[,724590,L
451703,451703,>MR[,724761,L
451710,451710,>MR[,724787,L
451782,451782,>MR[,725007,L
451787,451787,QR>[,725023,L
451791,451791,>MR[,725034,L
451829,451829,>MR[,725141,L
451831,451831,RJB[,725148,L
451833,451833,RJB[,725155,L
451836,451836,RJB[,725162,L
452023,452023,<FH[,725733,L
452024,452024,QR>[,725735,L
452040,452040,>MR[,725782,L
452100,452100,>MR[,725958,L
452191,452191,>MR[,726256,L
452197,452197,>MR[,726272,L
452199,452199,>MR[,726277,L
452204,452204,>MR[,726293,L
452207,452207,>MR[,726300,L
452211,452211,>MR[,726312,L
452214,452214,>MR[,726319,L
452233,452233,<FH[,726378,L
452287,452287,>MR[,726554,L
452306,452306,<FH[,726609,L
452334,452334,JY>[,726698,L
452400,452400,>MR[,726898,L
452403,452403,>MR[,726905,L
452412,452412,<FH[,726929,L
452446,452446,YRR[,727032,L
452449,452449,XV>[,727040,L
452467,452467,<FH[,727096,L
452489,452489,>MR[,727165,L
452502,452502,>MR[,727207,L
452506,452506,>MR[,727219,L
452510,452510,YRR[,727235,L
452540,452540,>MR[,727341,L
452556,452556,BW>[,727391,L
452561,452561,>MR[,727409,L
452589,452589,XV>[,727502,L
452633,452633,<FH[,727636,L
452657,452657,>MR[,727712,L
452660,452660,QR>[,727718,L
452685,452685,>MR[,727797,L
452689,452689,>MR[,727807,L
452744,452744,>MR[,727985,L
452752,452752,>MR[,728007,L
452780,452780,>MR[,728096,L
452811,452811,>MR[,728188,L
452812,452812,C>L[,728192,L
452831,452831,>MR[,728251,L
452851,452851,>MR[,728315,L
452884,452884,NTN[,728418,L
452895,452895,>MR[,728454,L
452903,452903,>MR[,728485,L
452906,452906,>MR[,728492,L
452912,452912,>MR[,728511,L
452917,452917,QR>[,728525,L
452925,452925,>MR[,728548,L
452934,452934,>MR[,728578,L
452938,452938,>MR[,728591,L
452962,452962,>MR[,728669,L
452981,452981,>MR[,728730,L
452997,452997,<FH[,728772,L
452998,452998,<FH[,728775,L
453000,453000,>MR[,728782,L
453004,453004,>MR[,728796,L
453005,453005,<FH[,728799,L
453006,453006,<FH[,728802,L
453007,453007,>MR[,728805,L
453011,453011,>MR[,728812,L
453014,453014,>MR[,728822,L
453064,453064,>RB[,728965,L
453080,453080,>MR[,729013,L
453084,453084,JKL[,729024,L
453152,453152,>MR[,729228,L
453162,453162,QR>[,729259,L
453169,453169,QR>[,729280,L
453204,453204,QR>[,729374,L
453247,453247,>MR[,729508,L
453283,453283,>MR[,729613,L
453290,453290,>MR[,729631,L
453320,453320,>MR[,729734,L
453325,453325,<FH[,729752,L
453328,453328,>MR[,729762,L
453333,453333,>MR[,729777,L
453347,453347,>MR[,729823,L
453400,453400,>MR[,729966,L
453421,453421,>MR[,730025,L
453436,453436,HLK[,730068,L
453514,453514,>MR[,730302,L
453522,453522,HLK[,730325,L
453541,453541,>MR[,730380,L
453579,453579,BLL[,730494,L
453601,453601,<FH[,730552,L
453605,453605,CM<[,730566,L
453619,453619,HLK[,730608,L
453628,453628,HLK[,730634,L
453679,453679,<FH[,730773,L
453700,453700,JY>[,730831,L
453714,453714,<LH[,730876,L
453719,453719,JY>[,730892,L
453732,453732,NGC[,730935,L
453751,453751,JY>[,730997,L
453890,453890,MY>[,731447,L
453926,453926,NTN[,731557,L
453952,453952,ZBX[,731633,L
453968,453968,>MR[,731684,L
454013,454013,HLK[,731818,L
454018,454018,HLK[,731835,L
454035,454035,>MR[,731891,L
454040,454040,>MR[,731906,L
454124,454124,<FH[,732144,L
454128,454128,>MR[,732157,L
454130,454130,YLH[,732161,L
454135,454135,LQX[,732179,L
454153,454153,C>L[,732237,L
454154,454154,HLK[,732240,L
454161,454161,<FH[,732264,L
454164,454164,>MR[,732274,L
454172,454172,XV>[,732298,L
454174,454174,XV>[,732304,L
454176,454176,CM<[,732313,L
454246,454246,QR>[,732522,L
454259,454259,QR>[,732550,L
454273,454273,QR>[,732584,L
454276,454276,>MR[,732595,L
454323,454323,<FH[,732720,L
454384,454384,<BD[,732912,L
454385,454385,<BD[,732915,L
454427,454427,NWS[,733034,L
454512,454512,CWB[,733285,L
454520,454520,QR>[,733317,L
454613,454613,<MD[,733608,L
454644,454644,CPK[,733707,L
454647,454647,XV>[,733715,L
454680,454680,CWB[,733835,L
454738,454738,RWY[,734024,L
454745,454745,NTN[,734047,L
454747,454747,NTN[,734053,L
454749,454749,<FH[,734059,L
454753,454753,BXR[,734073,L
454762,454762,JY>[,734101,L
454795,454795,>MR[,734195,L
454800,454800,D>G[,734207,L
454801,454801,>MR[,734210,L
454809,454809,>MR[,734236,L
454820,454820,NTN[,734268,L
454828,454828,>MR[,734294,L
454838,454838,>MR[,734317,L
454845,454845,BW>[,734335,L
454905,454905,>MR[,734513,L
454907,454907,NTN[,734518,L
454912,454912,FJM[,734534,L
454935,454935,>MR[,734593,L
454936,454936,<BR[,734596,L
454953,454953,D>G[,734646,L
454978,454978,BW>[,734722,L
454979,454979,<FH[,734724,L
455040,455040,>MR[,734902,L
455070,455070,HLK[,735003,final_h
455117,455117,>MR[,735153,L
455119,455119,>MR[,735158,L
455127,455127,<FH[,735181,L
455157,455157,>MR[,735281,L
455214,455214,>MR[,735451,L
455268,455268,XV>[,735616,L
455302,455302,YRR[,735723,L
455329,455329,BW>[,735800,L
455395,455395,<FH[,736020,L
455398,455398,>MR[,736029,L
455401,455401,NVH[,736036,L
455429,455429,NPL[,736125,L
455442,455442,>MR[,736163,L
455450,455450,>MR[,736182,L
455529,455529,>MR[,736427,L
455535,455535,XV>[,736443,L
455603,455603,HLK[,736648,L
455626,455626,CM<[,736721,L
455629,455629,<FH[,736729,L
455668,455668,XRH[,736838,L
455680,455680,>MR[,736874,L
455690,455690,ZBX[,736902,L
455696,455696,>MR[,736921,L
455719,455719,ZBX[,736992,L
